"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"246",1860133,1860133.2,3,1,0,0,6,0,2,40
"247",1862397,1862397.3,3,1,0,0,2,0,3,36
"248",1862397,1862397.3,3,1,0,0,2,0,3,36
"249",1862397,1862397.3,3,1,0,0,2,0,3,36
"250",1869541,1869541.1,3,0,0,1,5,0,1,52
"251",1881568,1881568.2,2,1,0,0,0,0,2,36
"252",1881568,1881568.2,2,1,0,0,0,0,2,36
"253",1882163,1882163.2,3,0,0,2,3,0,2,43
"254",1882163,1882163.2,3,0,0,2,3,0,2,43
"255",1885873,1885873.1,3,0,0,1,6,0,1,64
"256",1892764,1892764.2,2,0,0,2,1,0,2,57
"257",1892764,1892764.2,2,0,0,2,1,0,2,57
"258",1906822,1906822.2,3,0,0,0,2,1,2,47
"259",1906822,1906822.2,3,0,0,0,2,1,2,47
"260",1908272,1908272.3,2,1,0,0,5,0,3,47
"261",1908272,1908272.3,2,1,0,0,5,0,3,47
"262",1908272,1908272.3,2,1,0,0,5,0,3,47
"263",1909445,1909445.1,2,0,0,1,5,0,1,41
"264",1916277,1916277.1,3,1,0,1,1,0,1,50
"265",1917065,1917065.1,2,1,0,0,1,0,1,45
"266",1919567,1919567.2,3,1,0,2,1,1,2,43
"267",1919567,1919567.2,3,1,0,2,1,1,2,43
"268",1923108,1923108.2,2,1,0,0,1,0,2,31
"269",1923108,1923108.2,2,1,0,0,1,0,2,31
"270",1923757,1923757.2,3,0,0,2,1,0,2,65
"271",1923757,1923757.2,3,0,0,2,1,0,2,65
"272",1924696,1924696.1,3,1,0,0,1,0,1,50
"273",1931027,1931027.1,3,0,0,0,0,0,1,40
"274",1931032,1931032.2,2,1,0,2,1,0,2,51
"275",1931032,1931032.2,2,1,0,2,1,0,2,51
"276",1932472,1932472.1,2,0,0,0,1,1,1,41
"277",1933464,1933464.1,3,0,0,1,1,1,1,40
"278",1939777,1939777.2,3,1,0,0,1,0,2,35
"279",1939777,1939777.2,3,1,0,0,1,0,2,35
